Pressure (mbar),Distance (cm),Load(kg)
200.0,11.0,12.945973496432211
400.0,18.666666666666668,12.945973496432211
600.0,27.666666666666668,12.640163098878695
800.0,38.333333333333336,13.081889228678216
1000.0,51.333333333333336,13.28576282704723
1200.0,66.66666666666667,13.217804960924227
1400.0,82.0,13.08188922867822
1600.0,96.33333333333333,13.557594291539246
1800.0,111.0,13.625552157662248
2000.0,125.0,13.591573224600745
2200.0,137.0,13.86340468909276
2400.0,148.33333333333334,13.897383622154265
2600.0,158.66666666666666,13.931362555215765
2800.0,168.33333333333334,13.86340468909276
3000.0,176.33333333333334,13.829425756031261
3200.0,183.66666666666666,13.829425756031261
3400.0,190.0,13.829425756031261
3600.0,195.66666666666666,13.999320421338771
3800.0,201.0,13.931362555215765
4000.0,206.0,14.03329935440027
4200.0,210.0,14.067278287461773
4400.0,214.0,14.20319401970778
4600.0,216.66666666666666,14.305130818892286
4800.0,219.33333333333334,14.644920149507305
5000.0,221.33333333333334,15.052667346245327
5200.0,222.66666666666666,16.139993204213386
5400.0,222.66666666666666,17.023445463812436
5600.0,223.66666666666666,18.416581719334015
5800.0,223.33333333333334,18.72239211688753
6000.0,222.66666666666666,18.654434250764524
