Pressure (mbar),Distance (cm),Load(kg)
200.0,0.0,13.28576282704723
400.0,0.0,13.353720693170231
600.0,0.0,16.343866802582397
800.0,2.6666666666666665,17.906897723411486
1000.0,6.333333333333333,18.484539585457018
1200.0,11.666666666666666,18.688413183826025
1400.0,18.333333333333332,18.58647638464152
1600.0,26.666666666666668,18.450560652395513
1800.0,36.666666666666664,18.416581719334015
2000.0,48.333333333333336,18.450560652395513
2200.0,60.666666666666664,18.484539585457018
2400.0,74.66666666666667,18.280665987088003
2600.0,88.33333333333333,18.280665987088003
2800.0,102.0,18.34862385321101
3000.0,115.33333333333333,18.484539585457014
3200.0,127.0,18.450560652395513
3400.0,139.33333333333334,18.212708120965
3600.0,149.0,18.34862385321101
3800.0,158.66666666666666,18.38260278627251
4000.0,167.66666666666666,18.1787291879035
4200.0,174.33333333333334,18.654434250764524
4400.0,181.33333333333334,18.450560652395513
4600.0,188.33333333333334,18.314644920149508
4800.0,194.66666666666666,18.144750254842
5000.0,200.0,18.246687054026506
5200.0,205.0,18.246687054026506
5400.0,210.0,18.110771321780494
5600.0,214.33333333333334,18.076792388718996
5800.0,218.0,18.38260278627251
6000.0,221.33333333333334,18.620455317703023
