Pressure (mbar),Distance (mm),Load(kg)
100.0,4.0,42.71151885830785
200.0,6.0,42.50764525993883
300.0,7.0,42.71151885830785
400.0,9.0,42.50764525993883
500.0,11.0,42.60958205912334
600.0,13.0,42.60958205912334
700.0,15.0,42.50764525993883
800.0,17.0,42.71151885830785
900.0,19.0,42.813455657492355
1000.0,21.0,42.71151885830785
1100.0,23.0,42.915392456676855
1200.0,26.0,42.813455657492355
1300.0,29.0,42.71151885830785
1400.0,32.0,42.71151885830785
1500.0,35.0,42.915392456676855
1600.0,39.0,42.60958205912334
1700.0,43.0,42.60958205912334
1800.0,47.0,42.50764525993883
1900.0,51.0,42.303771661569826
2000.0,55.0,42.915392456676855
2100.0,61.0,42.40570846075433
2200.0,66.0,42.71151885830785
2300.0,71.0,42.60958205912334
2400.0,77.0,42.50764525993883
2500.0,82.0,42.60958205912334
2600.0,88.0,42.60958205912334
2700.0,94.0,42.60958205912334
2800.0,99.0,42.71151885830785
2900.0,105.0,42.60958205912334
3000.0,110.0,42.71151885830785
3100.0,116.0,42.50764525993883
3200.0,121.0,42.813455657492355
3300.0,126.0,42.60958205912334
3400.0,131.0,42.813455657492355
3500.0,136.0,42.813455657492355
3600.0,140.0,42.915392456676855
3700.0,145.0,42.813455657492355
3800.0,149.0,42.813455657492355
3900.0,153.0,42.915392456676855
4000.0,157.0,42.813455657492355
4100.0,161.0,42.813455657492355
4200.0,164.0,42.915392456676855
4300.0,168.0,42.915392456676855
4400.0,171.0,42.915392456676855
4500.0,174.0,42.915392456676855
4600.0,178.0,42.813455657492355
4700.0,181.0,42.915392456676855
4800.0,183.0,42.915392456676855
4900.0,186.0,42.915392456676855
5000.0,189.0,42.71151885830785
5100.0,192.0,42.71151885830785
5200.0,194.0,42.71151885830785
5300.0,196.0,42.813455657492355
5400.0,199.0,42.71151885830785
5500.0,201.0,42.71151885830785
5600.0,203.0,42.915392456676855
5700.0,205.0,42.813455657492355
5800.0,205.0,43.01732925586136
5900.0,205.0,43.11926605504587
6000.0,205.0,43.01732925586136
