Pressure (mbar),Distance (mm),Load(kg)
100.0,10.0,12.130479102956167
200.0,13.0,12.130479102956167
300.0,18.0,12.232415902140673
400.0,22.0,12.130479102956167
500.0,27.0,12.232415902140673
600.0,33.0,12.334352701325178
700.0,39.0,12.232415902140673
800.0,46.0,12.334352701325178
900.0,54.0,12.334352701325178
1000.0,62.0,12.232415902140673
1100.0,71.0,12.232415902140673
1200.0,80.0,12.334352701325178
1300.0,89.0,12.130479102956167
1400.0,99.0,12.232415902140673
1500.0,108.0,12.232415902140673
1600.0,117.0,12.334352701325178
1700.0,126.0,12.232415902140673
1800.0,134.0,12.334352701325178
1900.0,141.0,12.232415902140673
2000.0,148.0,12.334352701325178
2100.0,155.0,12.436289500509684
2200.0,161.0,12.232415902140673
2300.0,167.0,12.232415902140673
2400.0,172.0,12.334352701325178
2500.0,177.0,12.436289500509684
2600.0,182.0,12.334352701325178
2700.0,186.0,12.436289500509684
2800.0,191.0,12.334352701325178
2900.0,195.0,12.334352701325178
3000.0,199.0,12.334352701325178
3100.0,202.0,12.334352701325178
3200.0,205.0,12.334352701325178
3300.0,208.0,12.334352701325178
3400.0,212.0,12.232415902140673
3500.0,215.0,12.334352701325178
3600.0,217.0,12.334352701325178
3700.0,220.0,12.53822629969419
3800.0,222.0,12.334352701325178
3900.0,225.0,12.334352701325178
4000.0,227.0,12.334352701325178
4100.0,229.0,12.436289500509684
4200.0,231.0,12.334352701325178
4300.0,233.0,12.334352701325178
4400.0,235.0,12.334352701325178
4500.0,236.0,12.334352701325178
4600.0,238.0,12.334352701325178
4700.0,240.0,12.334352701325178
4800.0,241.0,12.334352701325178
4900.0,243.0,12.334352701325178
5000.0,244.0,12.334352701325178
5100.0,246.0,12.334352701325178
5200.0,247.0,12.334352701325178
5300.0,248.0,12.334352701325178
5400.0,249.0,12.436289500509684
5500.0,251.0,12.334352701325178
5600.0,251.0,12.436289500509684
5700.0,253.0,12.436289500509684
5800.0,252.0,12.7420998980632
5900.0,252.0,12.7420998980632
6000.0,252.0,12.7420998980632
