Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,42.813455657492355
200.0,1.0,43.01732925586136
300.0,2.0,42.915392456676855
400.0,3.0,43.01732925586136
500.0,4.0,43.01732925586136
600.0,5.0,43.01732925586136
700.0,6.0,42.915392456676855
800.0,8.0,43.22120285423038
900.0,9.0,42.915392456676855
1000.0,11.0,43.11926605504587
1100.0,12.0,42.915392456676855
1200.0,14.0,43.01732925586136
1300.0,16.0,43.01732925586136
1400.0,18.0,42.915392456676855
1500.0,20.0,43.11926605504587
1600.0,22.0,43.01732925586136
1700.0,25.0,42.915392456676855
1800.0,27.0,43.01732925586136
1900.0,30.0,42.915392456676855
2000.0,33.0,43.11926605504587
2100.0,36.0,42.813455657492355
2200.0,40.0,42.915392456676855
2300.0,44.0,43.01732925586136
2400.0,48.0,42.915392456676855
2500.0,53.0,43.11926605504587
2600.0,58.0,43.11926605504587
2700.0,63.0,43.01732925586136
2800.0,68.0,42.813455657492355
2900.0,74.0,42.915392456676855
3000.0,80.0,43.11926605504587
3100.0,86.0,43.11926605504587
3200.0,92.0,42.813455657492355
3300.0,98.0,43.01732925586136
3400.0,104.0,43.01732925586136
3500.0,109.0,42.915392456676855
3600.0,115.0,43.01732925586136
3700.0,121.0,43.01732925586136
3800.0,126.0,43.01732925586136
3900.0,131.0,43.01732925586136
4000.0,136.0,43.11926605504587
4100.0,141.0,43.01732925586136
4200.0,146.0,42.813455657492355
4300.0,150.0,42.915392456676855
4400.0,154.0,42.915392456676855
4500.0,159.0,42.915392456676855
4600.0,162.0,43.01732925586136
4700.0,166.0,43.01732925586136
4800.0,170.0,43.01732925586136
4900.0,174.0,42.813455657492355
5000.0,177.0,42.915392456676855
5100.0,181.0,42.915392456676855
5200.0,184.0,42.813455657492355
5300.0,187.0,42.813455657492355
5400.0,190.0,42.813455657492355
5500.0,193.0,42.813455657492355
5600.0,196.0,42.71151885830785
5700.0,198.0,42.813455657492355
5800.0,201.0,42.915392456676855
5900.0,203.0,43.01732925586136
6000.0,204.0,43.01732925586136
