Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,12.334352701325178
200.0,2.0,12.53822629969419
300.0,3.0,12.436289500509684
400.0,5.0,12.53822629969419
500.0,8.0,12.640163098878695
600.0,10.0,12.640163098878695
700.0,13.0,12.7420998980632
800.0,17.0,12.53822629969419
900.0,20.0,12.53822629969419
1000.0,24.0,12.640163098878695
1100.0,29.0,12.436289500509684
1200.0,35.0,12.232415902140673
1300.0,41.0,12.436289500509684
1400.0,48.0,12.436289500509684
1500.0,55.0,12.640163098878695
1600.0,63.0,12.53822629969419
1700.0,72.0,12.334352701325178
1800.0,81.0,12.640163098878695
1900.0,90.0,12.436289500509684
2000.0,99.0,12.53822629969419
2100.0,107.0,12.53822629969419
2200.0,116.0,12.53822629969419
2300.0,124.0,12.53822629969419
2400.0,132.0,12.640163098878695
2500.0,140.0,12.53822629969419
2600.0,146.0,12.844036697247706
2700.0,153.0,12.7420998980632
2800.0,159.0,12.7420998980632
2900.0,165.0,12.640163098878695
3000.0,170.0,12.53822629969419
3100.0,175.0,12.640163098878695
3200.0,180.0,12.53822629969419
3300.0,184.0,12.640163098878695
3400.0,189.0,12.640163098878695
3500.0,193.0,12.640163098878695
3600.0,197.0,12.640163098878695
3700.0,200.0,12.53822629969419
3800.0,203.0,12.844036697247706
3900.0,207.0,12.640163098878695
4000.0,210.0,12.7420998980632
4100.0,213.0,12.640163098878695
4200.0,216.0,12.7420998980632
4300.0,219.0,12.53822629969419
4400.0,221.0,12.640163098878695
4500.0,224.0,12.53822629969419
4600.0,226.0,12.640163098878695
4700.0,228.0,12.7420998980632
4800.0,231.0,12.53822629969419
4900.0,233.0,12.7420998980632
5000.0,235.0,12.640163098878695
5100.0,237.0,12.53822629969419
5200.0,239.0,12.640163098878695
5300.0,241.0,12.640163098878695
5400.0,243.0,12.640163098878695
5500.0,244.0,12.53822629969419
5600.0,246.0,12.436289500509684
5700.0,247.0,12.436289500509684
5800.0,249.0,12.640163098878695
5900.0,251.0,12.640163098878695
6000.0,251.0,12.640163098878695
