Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,23.6493374108053
200.0,1.0,23.955147808358817
300.0,3.0,23.85321100917431
400.0,4.0,23.85321100917431
500.0,6.0,23.85321100917431
600.0,8.0,23.751274209989806
700.0,10.0,23.955147808358817
800.0,12.0,23.85321100917431
900.0,14.0,23.85321100917431
1000.0,17.0,23.751274209989806
1100.0,20.0,23.547400611620795
1200.0,23.0,23.85321100917431
1300.0,27.0,23.751274209989806
1400.0,31.0,23.751274209989806
1500.0,35.0,23.955147808358817
1600.0,40.0,23.955147808358817
1700.0,45.0,23.85321100917431
1800.0,51.0,23.85321100917431
1900.0,57.0,23.85321100917431
2000.0,64.0,23.85321100917431
2100.0,70.0,23.6493374108053
2200.0,78.0,23.85321100917431
2300.0,85.0,23.85321100917431
2400.0,93.0,23.955147808358817
2500.0,100.0,23.85321100917431
2600.0,108.0,23.955147808358817
2700.0,115.0,23.6493374108053
2800.0,122.0,23.751274209989806
2900.0,129.0,23.955147808358817
3000.0,135.0,23.955147808358817
3100.0,141.0,23.85321100917431
3200.0,147.0,23.955147808358817
3300.0,153.0,23.955147808358817
3400.0,158.0,23.955147808358817
3500.0,163.0,23.85321100917431
3600.0,168.0,23.955147808358817
3700.0,173.0,23.751274209989806
3800.0,177.0,23.85321100917431
3900.0,181.0,23.955147808358817
4000.0,185.0,23.85321100917431
4100.0,188.0,23.85321100917431
4200.0,192.0,23.955147808358817
4300.0,195.0,23.85321100917431
4400.0,199.0,23.85321100917431
4500.0,202.0,23.955147808358817
4600.0,205.0,23.85321100917431
4700.0,208.0,23.751274209989806
4800.0,211.0,23.955147808358817
4900.0,213.0,23.85321100917431
5000.0,216.0,23.955147808358817
5100.0,218.0,23.955147808358817
5200.0,221.0,23.85321100917431
5300.0,223.0,23.751274209989806
5400.0,225.0,23.85321100917431
5500.0,228.0,23.751274209989806
5600.0,230.0,23.751274209989806
5700.0,232.0,23.85321100917431
5800.0,234.0,23.85321100917431
5900.0,235.0,23.955147808358817
6000.0,236.0,24.05708460754332
