Pressure (mbar),Distance (mm),Load(kg)
100.0,7.0,23.547400611620795
200.0,9.0,23.751274209989806
300.0,12.0,23.445463812436287
400.0,15.0,23.547400611620795
500.0,18.0,23.751274209989806
600.0,21.0,23.445463812436287
700.0,25.0,23.6493374108053
800.0,28.0,23.6493374108053
900.0,33.0,23.6493374108053
1000.0,37.0,23.6493374108053
1100.0,43.0,23.6493374108053
1200.0,48.0,23.343527013251784
1300.0,55.0,23.445463812436287
1400.0,61.0,23.6493374108053
1500.0,68.0,23.6493374108053
1600.0,76.0,23.445463812436287
1700.0,82.0,23.445463812436287
1800.0,90.0,23.547400611620795
1900.0,97.0,23.6493374108053
2000.0,105.0,23.6493374108053
2100.0,112.0,23.445463812436287
2200.0,119.0,23.6493374108053
2300.0,126.0,23.547400611620795
2400.0,132.0,23.751274209989806
2500.0,138.0,23.547400611620795
2600.0,144.0,23.85321100917431
2700.0,150.0,23.445463812436287
2800.0,155.0,23.547400611620795
2900.0,160.0,23.547400611620795
3000.0,165.0,23.547400611620795
3100.0,170.0,23.6493374108053
3200.0,174.0,23.751274209989806
3300.0,178.0,23.6493374108053
3400.0,182.0,23.751274209989806
3500.0,186.0,23.751274209989806
3600.0,190.0,23.6493374108053
3700.0,193.0,23.6493374108053
3800.0,196.0,23.6493374108053
3900.0,200.0,23.6493374108053
4000.0,203.0,23.6493374108053
4100.0,205.0,23.6493374108053
4200.0,208.0,23.751274209989806
4300.0,210.0,23.6493374108053
4400.0,213.0,23.547400611620795
4500.0,215.0,23.751274209989806
4600.0,217.0,23.751274209989806
4700.0,220.0,23.6493374108053
4800.0,222.0,23.547400611620795
4900.0,224.0,23.547400611620795
5000.0,226.0,23.751274209989806
5100.0,227.0,23.6493374108053
5200.0,229.0,23.751274209989806
5300.0,231.0,23.751274209989806
5400.0,232.0,23.751274209989806
5500.0,234.0,23.547400611620795
5600.0,235.0,23.6493374108053
5700.0,237.0,23.6493374108053
5800.0,237.0,24.05708460754332
5900.0,237.0,23.751274209989806
6000.0,237.0,23.955147808358817
