Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
100.0,-0.0,3.0,3.0,3.0,3.0,42.71151885830785,42.60958205912334,42.813455657492355,42.71151885830785,42.813455657492355
200.0,1.0,2.0,2.0,2.0,3.0,43.11926605504587,42.71151885830785,42.813455657492355,42.71151885830785,42.813455657492355
300.0,2.0,3.0,3.0,3.0,3.0,43.11926605504587,43.01732925586136,43.01732925586136,43.11926605504587,43.01732925586136
400.0,3.0,4.0,4.0,4.0,4.0,43.01732925586136,43.01732925586136,42.915392456676855,43.01732925586136,42.813455657492355
500.0,4.0,5.0,5.0,6.0,6.0,43.11926605504587,43.01732925586136,42.915392456676855,43.01732925586136,43.01732925586136
600.0,5.0,7.0,7.0,7.0,7.0,42.915392456676855,43.11926605504587,43.11926605504587,42.915392456676855,43.01732925586136
700.0,7.0,8.0,8.0,8.0,8.0,43.01732925586136,43.01732925586136,43.01732925586136,43.01732925586136,43.11926605504587
800.0,8.0,9.0,9.0,10.0,10.0,43.01732925586136,43.01732925586136,42.915392456676855,43.11926605504587,43.11926605504587
900.0,10.0,11.0,11.0,11.0,11.0,43.11926605504587,43.01732925586136,43.01732925586136,43.01732925586136,43.01732925586136
1000.0,11.0,12.0,13.0,13.0,13.0,43.01732925586136,43.22120285423038,43.11926605504587,43.01732925586136,42.915392456676855
1100.0,13.0,14.0,14.0,14.0,14.0,43.01732925586136,43.01732925586136,43.11926605504587,43.11926605504587,43.01732925586136
1200.0,15.0,16.0,16.0,16.0,16.0,43.11926605504587,43.01732925586136,43.22120285423038,43.11926605504587,43.11926605504587
1300.0,17.0,18.0,18.0,18.0,18.0,43.01732925586136,43.11926605504587,42.915392456676855,43.11926605504587,43.11926605504587
1400.0,19.0,20.0,20.0,21.0,21.0,43.11926605504587,43.01732925586136,43.11926605504587,43.22120285423038,43.01732925586136
1500.0,22.0,23.0,23.0,23.0,23.0,43.01732925586136,43.01732925586136,43.01732925586136,43.11926605504587,43.01732925586136
1600.0,24.0,25.0,25.0,25.0,26.0,42.71151885830785,43.01732925586136,43.11926605504587,43.01732925586136,43.11926605504587
1700.0,27.0,28.0,28.0,28.0,28.0,43.11926605504587,43.11926605504587,43.01732925586136,43.01732925586136,42.915392456676855
1800.0,30.0,31.0,31.0,31.0,31.0,43.11926605504587,43.22120285423038,42.915392456676855,42.915392456676855,43.01732925586136
1900.0,33.0,34.0,34.0,34.0,35.0,43.22120285423038,43.11926605504587,43.11926605504587,43.11926605504587,43.01732925586136
2000.0,37.0,38.0,38.0,38.0,38.0,43.11926605504587,43.01732925586136,43.01732925586136,43.22120285423038,43.01732925586136
2100.0,40.0,41.0,41.0,42.0,42.0,43.01732925586136,43.01732925586136,42.915392456676855,43.11926605504587,43.01732925586136
