Pressure (mbar),Distance (mm),Load(kg)
100.0,8.0,23.751274209989806
200.0,10.0,23.955147808358817
300.0,13.0,23.85321100917431
400.0,15.0,23.85321100917431
500.0,18.0,23.85321100917431
600.0,22.0,23.85321100917431
700.0,25.0,23.955147808358817
800.0,29.0,23.85321100917431
900.0,34.0,23.751274209989806
1000.0,39.0,23.6493374108053
1100.0,44.0,23.547400611620795
1200.0,50.0,23.6493374108053
1300.0,56.0,23.547400611620795
1400.0,63.0,23.751274209989806
1500.0,70.0,23.547400611620795
1600.0,77.0,23.6493374108053
1700.0,84.0,23.547400611620795
1800.0,91.0,23.751274209989806
1900.0,99.0,23.445463812436287
2000.0,106.0,23.6493374108053
2100.0,113.0,23.751274209989806
2200.0,120.0,23.85321100917431
2300.0,127.0,23.6493374108053
2400.0,133.0,23.751274209989806
2500.0,139.0,23.955147808358817
2600.0,145.0,23.751274209989806
2700.0,151.0,23.6493374108053
2800.0,156.0,23.6493374108053
2900.0,161.0,23.6493374108053
3000.0,165.0,23.85321100917431
3100.0,170.0,23.85321100917431
3200.0,174.0,23.751274209989806
3300.0,178.0,23.6493374108053
3400.0,182.0,23.751274209989806
3500.0,185.0,23.85321100917431
3600.0,189.0,23.955147808358817
3700.0,192.0,23.955147808358817
3800.0,195.0,23.955147808358817
3900.0,198.0,23.751274209989806
4000.0,201.0,23.955147808358817
4100.0,203.0,23.955147808358817
4200.0,206.0,23.85321100917431
4300.0,209.0,23.85321100917431
4400.0,211.0,23.955147808358817
4500.0,213.0,23.955147808358817
4600.0,215.0,23.955147808358817
4700.0,218.0,23.955147808358817
4800.0,220.0,23.85321100917431
4900.0,222.0,23.955147808358817
5000.0,223.0,23.955147808358817
5100.0,225.0,23.85321100917431
5200.0,227.0,23.955147808358817
5300.0,228.0,23.955147808358817
5400.0,231.0,23.751274209989806
5500.0,231.0,23.955147808358817
5600.0,233.0,23.85321100917431
5700.0,233.0,24.464831804281346
5800.0,233.0,24.36289500509684
5900.0,232.0,24.464831804281346
6000.0,232.0,24.668705402650357
