Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,23.955147808358817
200.0,1.0,24.464831804281346
300.0,2.0,24.872579001019368
400.0,3.0,25.79001019367992
500.0,5.0,24.668705402650357
600.0,7.0,24.668705402650357
700.0,8.0,24.668705402650357
800.0,10.0,24.668705402650357
900.0,12.0,24.872579001019368
1000.0,15.0,24.260958205912335
1100.0,18.0,24.464831804281346
1200.0,20.0,24.36289500509684
1300.0,24.0,24.260958205912335
1400.0,27.0,24.36289500509684
1500.0,31.0,24.56676860346585
1600.0,35.0,24.56676860346585
1700.0,39.0,24.668705402650357
1800.0,45.0,24.464831804281346
1900.0,50.0,24.36289500509684
2000.0,57.0,24.464831804281346
2100.0,62.0,24.77064220183486
2200.0,69.0,24.56676860346585
2300.0,77.0,24.464831804281346
2400.0,84.0,24.668705402650357
2500.0,92.0,24.464831804281346
2600.0,99.0,24.668705402650357
2700.0,106.0,24.77064220183486
2800.0,113.0,24.668705402650357
2900.0,120.0,24.668705402650357
3000.0,127.0,24.668705402650357
3100.0,133.0,24.56676860346585
3200.0,139.0,24.56676860346585
3300.0,145.0,24.668705402650357
3400.0,151.0,24.36289500509684
3500.0,155.0,24.56676860346585
3600.0,161.0,24.464831804281346
3700.0,166.0,24.36289500509684
3800.0,170.0,24.464831804281346
3900.0,174.0,24.56676860346585
4000.0,179.0,24.56676860346585
4100.0,183.0,24.36289500509684
4200.0,186.0,24.464831804281346
4300.0,190.0,24.36289500509684
4400.0,193.0,24.260958205912335
4500.0,196.0,24.260958205912335
4600.0,200.0,24.36289500509684
4700.0,203.0,24.36289500509684
4800.0,206.0,24.260958205912335
4900.0,208.0,24.36289500509684
5000.0,211.0,24.159021406727827
5100.0,214.0,24.464831804281346
5200.0,216.0,24.36289500509684
5300.0,219.0,24.260958205912335
5400.0,221.0,24.260958205912335
5500.0,223.0,24.36289500509684
5600.0,225.0,24.464831804281346
5700.0,227.0,24.668705402650357
5800.0,229.0,24.36289500509684
5900.0,231.0,24.56676860346585
6000.0,232.0,24.668705402650357
