Pressure (mbar),Distance (mm),Load(kg)
100.0,3.0,42.915392456676855
200.0,5.0,43.11926605504587
300.0,6.0,43.11926605504587
400.0,8.0,43.22120285423038
500.0,10.0,43.11926605504587
600.0,12.0,42.915392456676855
700.0,13.0,43.01732925586136
800.0,15.0,42.915392456676855
900.0,17.0,42.915392456676855
1000.0,19.0,43.01732925586136
1100.0,22.0,43.32313965341488
1200.0,24.0,43.11926605504587
1300.0,27.0,42.915392456676855
1400.0,30.0,43.11926605504587
1500.0,33.0,43.11926605504587
1600.0,36.0,43.11926605504587
1700.0,40.0,43.11926605504587
1800.0,44.0,42.915392456676855
1900.0,48.0,42.915392456676855
2000.0,52.0,42.915392456676855
2100.0,57.0,42.915392456676855
2200.0,62.0,42.915392456676855
2300.0,67.0,43.01732925586136
2400.0,72.0,42.813455657492355
2500.0,78.0,43.01732925586136
2600.0,83.0,42.915392456676855
2700.0,89.0,43.11926605504587
2800.0,95.0,42.915392456676855
2900.0,100.0,42.71151885830785
3000.0,106.0,42.813455657492355
3100.0,111.0,42.813455657492355
3200.0,116.0,43.01732925586136
3300.0,122.0,42.813455657492355
3400.0,126.0,42.813455657492355
3500.0,131.0,42.813455657492355
3600.0,135.0,42.915392456676855
3700.0,140.0,42.915392456676855
3800.0,144.0,42.813455657492355
3900.0,148.0,43.01732925586136
4000.0,153.0,42.71151885830785
4100.0,156.0,43.01732925586136
4200.0,160.0,43.01732925586136
4300.0,163.0,43.01732925586136
4400.0,167.0,42.915392456676855
4500.0,170.0,43.01732925586136
4600.0,173.0,43.01732925586136
4700.0,176.0,43.22120285423038
4800.0,179.0,42.915392456676855
4900.0,182.0,42.915392456676855
5000.0,184.0,42.915392456676855
5100.0,187.0,42.60958205912334
5200.0,190.0,42.813455657492355
5300.0,192.0,42.813455657492355
5400.0,194.0,43.01732925586136
5500.0,196.0,42.915392456676855
5600.0,198.0,42.915392456676855
5700.0,200.0,43.01732925586136
5800.0,200.0,43.6289500509684
5900.0,200.0,43.730886850152906
6000.0,200.0,43.32313965341488
