Pressure (mbar),Distance (mm),Load(kg)
100.0,0.0,43.11926605504587
200.0,0.0,43.01732925586136
300.0,1.0,43.52701325178389
400.0,2.0,43.6289500509684
500.0,3.0,43.32313965341488
600.0,4.0,43.22120285423038
700.0,5.0,43.6289500509684
800.0,6.0,43.32313965341488
900.0,8.0,43.6289500509684
1000.0,9.0,43.425076452599384
1100.0,11.0,43.52701325178389
1200.0,12.0,43.6289500509684
1300.0,14.0,43.52701325178389
1400.0,16.0,43.832823649337406
1500.0,18.0,43.832823649337406
1600.0,20.0,44.03669724770642
1700.0,22.0,43.832823649337406
1800.0,25.0,43.6289500509684
1900.0,28.0,43.52701325178389
2000.0,31.0,43.730886850152906
2100.0,33.0,43.6289500509684
2200.0,37.0,43.6289500509684
2300.0,40.0,43.6289500509684
2400.0,44.0,43.934760448521914
2500.0,48.0,43.730886850152906
2600.0,53.0,43.730886850152906
2700.0,57.0,43.832823649337406
2800.0,63.0,43.832823649337406
2900.0,68.0,43.832823649337406
3000.0,73.0,43.730886850152906
3100.0,79.0,43.934760448521914
3200.0,84.0,43.934760448521914
3300.0,90.0,43.730886850152906
3400.0,96.0,43.730886850152906
3500.0,102.0,43.52701325178389
3600.0,108.0,43.832823649337406
3700.0,114.0,43.6289500509684
3800.0,119.0,43.730886850152906
3900.0,124.0,43.832823649337406
4000.0,129.0,43.832823649337406
4100.0,134.0,43.730886850152906
4200.0,139.0,43.6289500509684
4300.0,144.0,43.6289500509684
4400.0,148.0,43.6289500509684
4500.0,152.0,43.6289500509684
4600.0,156.0,43.52701325178389
4700.0,160.0,43.6289500509684
4800.0,164.0,43.425076452599384
4900.0,168.0,43.32313965341488
5000.0,172.0,43.425076452599384
5100.0,175.0,43.425076452599384
5200.0,178.0,43.425076452599384
5300.0,182.0,43.32313965341488
5400.0,185.0,43.11926605504587
5500.0,188.0,43.11926605504587
5600.0,190.0,43.11926605504587
5700.0,193.0,43.730886850152906
5800.0,195.0,43.52701325178389
5900.0,198.0,43.32313965341488
6000.0,199.0,43.6289500509684
