Pressure (mbar),Distance (mm),Load(kg)
100.0,11.0,12.7420998980632
200.0,15.0,12.844036697247706
300.0,19.0,12.945973496432211
400.0,24.0,12.7420998980632
500.0,28.0,12.844036697247706
600.0,34.0,12.640163098878695
700.0,40.0,12.334352701325178
800.0,47.0,12.640163098878695
900.0,55.0,12.7420998980632
1000.0,63.0,12.640163098878695
1100.0,72.0,12.640163098878695
1200.0,82.0,12.640163098878695
1300.0,91.0,12.640163098878695
1400.0,101.0,12.436289500509684
1500.0,109.0,12.53822629969419
1600.0,118.0,12.7420998980632
1700.0,126.0,12.53822629969419
1800.0,133.0,12.640163098878695
1900.0,141.0,12.640163098878695
2000.0,148.0,12.640163098878695
2100.0,155.0,12.640163098878695
2200.0,160.0,12.7420998980632
2300.0,166.0,12.640163098878695
2400.0,171.0,12.640163098878695
2500.0,176.0,12.7420998980632
2600.0,181.0,12.844036697247706
2700.0,185.0,12.7420998980632
2800.0,189.0,12.7420998980632
2900.0,193.0,12.7420998980632
3000.0,197.0,12.640163098878695
3100.0,200.0,12.7420998980632
3200.0,204.0,12.844036697247706
3300.0,206.0,12.844036697247706
3400.0,210.0,12.640163098878695
3500.0,212.0,12.844036697247706
3600.0,215.0,12.945973496432211
3700.0,217.0,12.7420998980632
3800.0,220.0,12.844036697247706
3900.0,222.0,12.53822629969419
4000.0,224.0,12.945973496432211
4100.0,226.0,12.7420998980632
4200.0,228.0,12.640163098878695
4300.0,230.0,12.844036697247706
4400.0,232.0,12.844036697247706
4500.0,234.0,12.7420998980632
4600.0,235.0,12.844036697247706
4700.0,237.0,12.7420998980632
4800.0,239.0,12.844036697247706
4900.0,240.0,12.844036697247706
5000.0,241.0,12.7420998980632
5100.0,242.0,13.047910295616717
5200.0,244.0,12.7420998980632
5300.0,245.0,12.844036697247706
5400.0,246.0,12.7420998980632
5500.0,247.0,12.945973496432211
5600.0,248.0,12.945973496432211
5700.0,248.0,13.557594291539244
5800.0,248.0,13.65953109072375
5900.0,248.0,13.455657492354739
6000.0,247.0,13.455657492354739
