Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
100.0,-0.0,4.0,6.0,7.0,7.0,12.844036697247706,12.436289500509684,12.436289500509684,12.53822629969419,12.436289500509684
200.0,-0.0,4.0,5.0,6.0,7.0,12.640163098878695,12.334352701325178,12.640163098878695,12.640163098878695,12.334352701325178
300.0,-0.0,5.0,6.0,7.0,8.0,12.640163098878695,12.7420998980632,12.844036697247706,12.7420998980632,12.844036697247706
400.0,-0.0,7.0,8.0,9.0,10.0,12.844036697247706,12.844036697247706,12.7420998980632,12.844036697247706,12.7420998980632
500.0,-0.0,9.0,11.0,12.0,13.0,12.844036697247706,12.945973496432211,12.844036697247706,12.945973496432211,12.844036697247706
600.0,-0.0,11.0,13.0,14.0,15.0,12.640163098878695,12.945973496432211,12.945973496432211,12.844036697247706,12.844036697247706
700.0,-0.0,14.0,16.0,17.0,18.0,12.844036697247706,12.844036697247706,12.7420998980632,12.844036697247706,12.844036697247706
800.0,-0.0,17.0,19.0,21.0,22.0,12.844036697247706,12.945973496432211,12.945973496432211,12.7420998980632,12.844036697247706
900.0,-0.0,21.0,23.0,25.0,26.0,12.945973496432211,12.844036697247706,12.7420998980632,12.844036697247706,12.844036697247706
1000.0,-0.0,24.0,27.0,29.0,30.0,12.945973496432211,12.844036697247706,12.7420998980632,12.844036697247706,12.7420998980632
1100.0,18.0,29.0,32.0,34.0,35.0,13.047910295616717,12.945973496432211,12.7420998980632,12.7420998980632,12.7420998980632
1200.0,23.0,34.0,37.0,39.0,41.0,13.047910295616717,12.844036697247706,12.945973496432211,12.7420998980632,12.844036697247706
1300.0,28.0,39.0,43.0,45.0,47.0,12.945973496432211,12.945973496432211,12.7420998980632,12.7420998980632,12.945973496432211
1400.0,33.0,46.0,49.0,52.0,54.0,12.7420998980632,12.844036697247706,12.945973496432211,12.844036697247706,12.844036697247706
1500.0,38.0,52.0,57.0,60.0,62.0,12.945973496432211,12.844036697247706,12.844036697247706,12.7420998980632,12.945973496432211
1600.0,45.0,60.0,65.0,68.0,70.0,12.7420998980632,12.945973496432211,12.844036697247706,12.7420998980632,12.844036697247706
1700.0,52.0,68.0,73.0,76.0,79.0,12.945973496432211,12.7420998980632,12.844036697247706,12.7420998980632,12.844036697247706
1800.0,60.0,77.0,82.0,85.0,88.0,12.945973496432211,12.844036697247706,12.945973496432211,12.844036697247706,12.844036697247706
1900.0,68.0,86.0,91.0,94.0,96.0,12.844036697247706,12.844036697247706,12.844036697247706,12.945973496432211,13.047910295616717
2000.0,76.0,95.0,99.0,103.0,105.0,13.047910295616717,12.945973496432211,12.945973496432211,12.844036697247706,12.7420998980632
2100.0,85.0,103.0,108.0,111.0,113.0,12.844036697247706,12.844036697247706,12.844036697247706,12.7420998980632,12.945973496432211
2200.0,93.0,112.0,116.0,119.0,122.0,12.945973496432211,12.7420998980632,12.945973496432211,12.7420998980632,12.844036697247706
2300.0,102.0,120.0,124.0,127.0,130.0,13.149847094801222,12.7420998980632,12.7420998980632,12.844036697247706,12.7420998980632
2400.0,110.0,127.0,132.0,135.0,137.0,12.844036697247706,12.844036697247706,13.149847094801222,12.945973496432211,12.7420998980632
2500.0,119.0,135.0,139.0,142.0,144.0,12.945973496432211,13.047910295616717,12.945973496432211,12.844036697247706,12.945973496432211
