Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
6000.0,253.0,255.0,257.0,258.0,258.0,12.844036697247706,12.7420998980632,12.844036697247706,12.7420998980632,12.7420998980632
5900.0,254.0,256.0,257.0,258.0,259.0,12.7420998980632,12.844036697247706,12.844036697247706,12.844036697247706,12.7420998980632
5800.0,254.0,256.0,257.0,258.0,259.0,12.844036697247706,12.640163098878695,12.7420998980632,12.844036697247706,12.844036697247706
5700.0,254.0,256.0,257.0,258.0,259.0,12.436289500509684,12.7420998980632,12.334352701325178,12.334352701325178,12.334352701325178
5600.0,254.0,256.0,256.0,257.0,258.0,12.7420998980632,12.7420998980632,12.436289500509684,12.232415902140673,12.436289500509684
5500.0,254.0,254.0,255.0,256.0,257.0,12.53822629969419,12.334352701325178,12.436289500509684,12.334352701325178,12.436289500509684
5400.0,251.0,253.0,254.0,255.0,256.0,12.436289500509684,12.436289500509684,12.436289500509684,12.334352701325178,12.232415902140673
5300.0,250.0,252.0,253.0,254.0,255.0,12.334352701325178,12.436289500509684,12.232415902140673,12.334352701325178,12.334352701325178
5200.0,249.0,251.0,252.0,253.0,253.0,12.334352701325178,12.334352701325178,12.334352701325178,12.232415902140673,12.436289500509684
5100.0,247.0,249.0,251.0,251.0,252.0,12.232415902140673,12.334352701325178,12.130479102956167,12.334352701325178,12.334352701325178
5000.0,246.0,248.0,249.0,250.0,251.0,12.232415902140673,12.436289500509684,12.334352701325178,12.232415902140673,12.334352701325178
4900.0,245.0,247.0,248.0,249.0,249.0,12.436289500509684,12.53822629969419,12.130479102956167,12.436289500509684,12.232415902140673
4800.0,243.0,246.0,246.0,247.0,248.0,12.334352701325178,12.844036697247706,12.232415902140673,12.436289500509684,12.436289500509684
4700.0,243.0,246.0,245.0,246.0,246.0,12.53822629969419,12.334352701325178,12.232415902140673,12.334352701325178,12.232415902140673
4600.0,243.0,242.0,243.0,244.0,245.0,12.640163098878695,12.436289500509684,12.232415902140673,12.334352701325178,12.436289500509684
4500.0,238.0,240.0,242.0,243.0,243.0,12.436289500509684,12.53822629969419,12.334352701325178,12.334352701325178,12.232415902140673
4400.0,236.0,238.0,240.0,241.0,241.0,12.334352701325178,12.436289500509684,12.334352701325178,12.334352701325178,12.334352701325178
4300.0,235.0,237.0,238.0,239.0,240.0,12.334352701325178,12.334352701325178,12.130479102956167,12.436289500509684,12.334352701325178
4200.0,233.0,235.0,236.0,237.0,238.0,12.334352701325178,12.436289500509684,12.334352701325178,12.334352701325178,12.334352701325178
4100.0,231.0,233.0,234.0,235.0,236.0,12.02854230377166,12.436289500509684,12.436289500509684,12.436289500509684,12.232415902140673
4000.0,229.0,231.0,232.0,233.0,234.0,12.436289500509684,12.334352701325178,12.334352701325178,12.334352701325178,12.334352701325178
3900.0,226.0,230.0,230.0,231.0,232.0,12.232415902140673,12.334352701325178,12.232415902140673,12.334352701325178,12.334352701325178
3800.0,226.0,230.0,228.0,228.0,229.0,12.53822629969419,12.334352701325178,12.232415902140673,12.334352701325178,12.436289500509684
3700.0,226.0,224.0,225.0,226.0,227.0,12.436289500509684,12.436289500509684,12.436289500509684,12.334352701325178,12.334352701325178
3600.0,219.0,221.0,222.0,224.0,224.0,12.436289500509684,12.53822629969419,12.334352701325178,12.436289500509684,12.334352701325178
3500.0,216.0,218.0,220.0,221.0,222.0,12.436289500509684,12.130479102956167,12.436289500509684,12.334352701325178,12.334352701325178
3400.0,213.0,216.0,217.0,218.0,219.0,12.334352701325178,12.436289500509684,12.334352701325178,12.130479102956167,12.334352701325178
3300.0,210.0,213.0,214.0,215.0,216.0,12.334352701325178,12.334352701325178,12.334352701325178,12.232415902140673,12.334352701325178
3200.0,207.0,209.0,211.0,212.0,213.0,12.334352701325178,12.53822629969419,12.334352701325178,12.334352701325178,12.334352701325178
3100.0,204.0,206.0,208.0,209.0,210.0,12.232415902140673,12.334352701325178,12.334352701325178,12.53822629969419,12.334352701325178
3000.0,200.0,205.0,204.0,205.0,206.0,12.334352701325178,12.436289500509684,12.436289500509684,12.130479102956167,12.334352701325178
2900.0,199.0,205.0,200.0,202.0,202.0,12.334352701325178,12.640163098878695,12.436289500509684,12.334352701325178,12.334352701325178
2800.0,199.0,196.0,196.0,197.0,199.0,12.640163098878695,12.53822629969419,12.334352701325178,12.436289500509684,12.436289500509684
2700.0,189.0,191.0,192.0,193.0,194.0,12.436289500509684,12.334352701325178,12.334352701325178,12.232415902140673,12.334352701325178
2600.0,183.0,186.0,188.0,189.0,190.0,12.232415902140673,12.334352701325178,12.334352701325178,12.334352701325178,12.334352701325178
2500.0,178.0,181.0,183.0,184.0,185.0,12.334352701325178,12.334352701325178,12.436289500509684,12.334352701325178,12.334352701325178
2400.0,173.0,176.0,178.0,179.0,181.0,12.334352701325178,12.334352701325178,12.334352701325178,12.436289500509684,12.232415902140673
2300.0,168.0,171.0,172.0,174.0,175.0,12.334352701325178,12.334352701325178,12.334352701325178,12.334352701325178,12.334352701325178
2200.0,161.0,165.0,167.0,168.0,170.0,12.436289500509684,12.232415902140673,12.334352701325178,12.334352701325178,12.232415902140673
2100.0,155.0,163.0,160.0,162.0,163.0,12.436289500509684,12.334352701325178,12.130479102956167,12.334352701325178,12.232415902140673
