Pressure (mbar),Distance Cycle 1 (mm),Distance Cycle 2 (mm),Distance Cycle 3 (mm),Distance Cycle 4 (mm),Distance Cycle 5 (mm),Load Cycle 1 (kg),Load Cycle 2 (kg),Load Cycle 3 (kg),Load Cycle 4 (kg),Load Cycle 5 (kg)
6000.0,223.0,223.0,223.0,223.0,223.0,33.53720693170234,33.53720693170234,33.63914373088685,33.63914373088685,33.63914373088685
5900.0,223.0,223.0,223.0,223.0,223.0,33.53720693170234,33.63914373088685,33.74108053007135,33.63914373088685,33.63914373088685
5800.0,223.0,223.0,223.0,223.0,223.0,33.63914373088685,33.63914373088685,33.53720693170234,33.63914373088685,33.53720693170234
5700.0,223.0,223.0,223.0,223.0,223.0,33.12945973496432,33.12945973496432,33.12945973496432,33.12945973496432,33.23139653414883
5600.0,221.0,221.0,221.0,221.0,221.0,33.435270132517836,33.23139653414883,33.12945973496432,33.23139653414883,33.12945973496432
5500.0,219.0,219.0,219.0,219.0,219.0,33.23139653414883,33.12945973496432,33.23139653414883,33.23139653414883,33.12945973496432
5400.0,217.0,217.0,217.0,218.0,217.0,33.12945973496432,33.23139653414883,33.12945973496432,33.12945973496432,33.12945973496432
5300.0,216.0,215.0,216.0,216.0,216.0,33.12945973496432,33.33333333333333,33.23139653414883,33.12945973496432,33.12945973496432
5200.0,214.0,214.0,214.0,214.0,214.0,33.12945973496432,33.33333333333333,33.027522935779814,33.23139653414883,33.33333333333333
5100.0,211.0,212.0,212.0,212.0,212.0,33.12945973496432,33.12945973496432,33.23139653414883,33.027522935779814,33.027522935779814
5000.0,209.0,209.0,209.0,210.0,210.0,33.12945973496432,33.12945973496432,33.12945973496432,33.12945973496432,33.12945973496432
4900.0,207.0,207.0,207.0,207.0,207.0,33.12945973496432,33.23139653414883,33.23139653414883,33.23139653414883,33.33333333333333
4800.0,205.0,205.0,205.0,205.0,205.0,33.33333333333333,33.027522935779814,33.23139653414883,33.33333333333333,33.12945973496432
4700.0,202.0,202.0,202.0,202.0,203.0,33.23139653414883,33.12945973496432,33.12945973496432,33.23139653414883,33.027522935779814
4600.0,200.0,200.0,200.0,200.0,200.0,33.12945973496432,33.027522935779814,33.23139653414883,33.027522935779814,33.12945973496432
4500.0,197.0,197.0,197.0,197.0,198.0,33.12945973496432,33.23139653414883,33.33333333333333,33.12945973496432,33.027522935779814
4400.0,194.0,194.0,194.0,194.0,194.0,33.23139653414883,33.12945973496432,33.23139653414883,33.23139653414883,33.23139653414883
4300.0,191.0,192.0,192.0,192.0,192.0,33.23139653414883,33.23139653414883,33.027522935779814,33.12945973496432,33.23139653414883
4200.0,188.0,188.0,188.0,189.0,189.0,33.33333333333333,33.12945973496432,33.12945973496432,33.23139653414883,33.12945973496432
4100.0,185.0,185.0,185.0,185.0,186.0,33.23139653414883,33.33333333333333,33.23139653414883,33.027522935779814,33.12945973496432
4000.0,182.0,182.0,182.0,182.0,182.0,33.12945973496432,33.12945973496432,33.33333333333333,33.12945973496432,33.23139653414883
