Pressure (mbar),Distance Cycle 1 (mm),Load Cycle 1 (kg)
100.0,-0.0,43.425076452599384
200.0,-0.0,42.813455657492355
300.0,-0.0,43.52701325178389
400.0,1.0,42.40570846075433
500.0,2.0,43.52701325178389
600.0,3.0,42.915392456676855
700.0,4.0,43.32313965341488
800.0,5.0,42.813455657492355
900.0,6.0,42.915392456676855
1000.0,8.0,43.11926605504587
1100.0,9.0,42.71151885830785
1200.0,10.0,43.22120285423038
1300.0,12.0,42.915392456676855
1400.0,14.0,42.813455657492355
1500.0,16.0,43.01732925586136
1600.0,18.0,43.11926605504587
1700.0,20.0,43.01732925586136
1800.0,22.0,43.01732925586136
1900.0,24.0,43.11926605504587
2000.0,27.0,43.01732925586136
2100.0,30.0,43.22120285423038
2200.0,33.0,43.01732925586136
2300.0,36.0,42.915392456676855
2400.0,40.0,43.11926605504587
2500.0,43.0,43.11926605504587
2600.0,48.0,43.11926605504587
2700.0,52.0,43.01732925586136
2800.0,57.0,43.11926605504587
2900.0,61.0,43.11926605504587
3000.0,67.0,43.11926605504587
3100.0,72.0,43.01732925586136
3200.0,77.0,43.11926605504587
3300.0,83.0,43.01732925586136
3400.0,89.0,43.01732925586136
3500.0,95.0,43.11926605504587
3600.0,101.0,42.915392456676855
3700.0,107.0,43.11926605504587
3800.0,112.0,43.01732925586136
3900.0,118.0,43.01732925586136
4000.0,123.0,43.01732925586136
4100.0,129.0,43.11926605504587
4200.0,134.0,43.22120285423038
4300.0,140.0,42.60958205912334
4400.0,145.0,42.60958205912334
4500.0,148.0,43.01732925586136
4600.0,152.0,43.32313965341488
4700.0,156.0,43.11926605504587
4800.0,160.0,42.915392456676855
4900.0,165.0,43.01732925586136
5000.0,168.0,43.01732925586136
5100.0,171.0,43.11926605504587
5200.0,175.0,43.01732925586136
5300.0,178.0,43.01732925586136
5400.0,181.0,43.01732925586136
5500.0,184.0,43.22120285423038
5600.0,187.0,43.22120285423038
5700.0,190.0,43.11926605504587
5800.0,193.0,43.01732925586136
5900.0,195.0,42.813455657492355
6000.0,197.0,43.01732925586136
